unique_id,Comment
1,More options for us plant-based folk would be grand. Cheers!
2,Really enjoyed the Pad Thai! ??
3,The menu was a bit confusing to read.
4,Délicieux! J'ai adoré les nouilles au curry.
5,ggdfsgjkl
6,Loved it! Great job everyone.
7,"Add more vegetarian options, please!"
8,This food is fire ??????
9,"It was okay, I guess."
10,Needs more salt.
11,Needs more salt.
12,The music was way too loud.
13,So good! Will come back.
14,Not what I expected at all.
15,Me gustó mucho la sopa de fideos.
16,The spice level was intense! ??
17,"Could be better, honestly."
18,Not bad.
19,The service was super friendly.
20,A little slow.
21,More gluten-free choices?
22,The noodles were a little overcooked.
23,What I said before.
24,The atmosphere was really cool.
25,????????????
26,Portions were a bit small for the price.
27,It burned my mouth! Too spicy.
28,Good stuff.
29,The layout felt a bit cramped.
30,"More vegan options, please and thank you!"
31,The tea was excellent.
32,I think the price point is a bit high.
33,"The noodles lacked flavor, tbh."
34,Menu needs clearer allergy info.
35,"Honestly? The ramen was just... meh. Nothing special, ya know?"
36,I think they shuld offer some kind of loyalty program. I'd def come back.
37,"The vibe was chill, but the lighting was a lil dark for reading the menue."
38,"It took ages to get our food after ordering. We were about to leave!"""
39,Pretty good
40,"The Pad Thai was tasty, though it could have used a bit more spice, and the wait to order was quite long."
41,"The Pad Thai was tasty, though it could have used a bit more spice, and the wait to order was quite long."
42,"Loved the atmosphere, it was really chill, but the tables were a little sticky which was kind of off-putting."
43,"The vegetarian noodle bowl was decent, but honestly, for the price, the portion felt a bit small, and my friend said the music was too loud."
44,"Service was friendly, no complaints there, but the menu was so confusing I almost didn't order anything, and when the food finally came, the noodles were a tad overcooked."
45,"Really enjoyed the overall vibe of the place, it felt very welcoming, and the tea was excellent. However, finding a place to sit took a while as it was quite crowded."
46,"The curry noodles were delicious, I'd definitely get them again, but they were spicier than I expected, and I noticed there weren't many vegan options on the menu."
47,"I appreciated that they had gluten-free options, which is great, but the dish I ordered was a little bland and could have used more seasoning. The staff were nice though."
48,"The layout of the stall felt a bit cramped, making it hard to move around, especially with a tray of food. The food itself was good, though, especially the spring rolls."
49,"The service started out a bit slow, but once we ordered, the food came out quickly. The ramen was okay, nothing special, and I think the prices are a tad high for what you get."
50,"I liked the decorations and the general feel of the place, very unique, but it was hard to have a conversation because the music was so loud, and my water glass was empty for a while before anyone noticed."
51,"Le Pad Thaï était bon, mais un peu trop sucré à mon goût, et l'attente pour payer était longue."
52,"La ambiance était sympa, j'ai bien aimé le décor, mais il faisait un peu froid près de la fenêtre."
53,"Die vegetarische Nudelsuppe war lecker, aber die Portion hätte größer sein können, und der Service war etwas langsam."
54,"Mi è piaciuto molto l'arredamento del locale, molto originale, però la musica era un po' alta e ho dovuto aspettare un po' per il conto."
55,"El plato de fideos picantes estaba delicioso, aunque un poco aceitoso, y no había muchas opciones sin gluten."
56,hi hi hi hi hi hi
57,It was just okay.
58,"The spring rolls were crispy and tasty, but the dipping sauce was a bit bland, and it took a while for someone to take our order."
59,"I really liked the overall casual vibe, it felt very relaxed, but some of the tables hadn't been cleaned properly."
60,"The spicy noodles had a good kick, which I enjoyed, but there weren't any clear spice level options on the menu."
61,"Our server was friendly and helpful with recommendations, but the drink I ordered took ages to arrive."
62,"The portion size of the noodle bowl was generous, I couldn't even finish it, but the noodles themselves were a little mushy."
63,"The music selection was great, really added to the atmosphere, but the lighting was a bit too dim to read the menu easily."
64,"I appreciated the effort with the presentation of the food, it looked nice, but the flavor was just okay, nothing special."
65,"The tea was refreshing and well-brewed, but the bathroom could have been cleaner."
66,"The seating area was comfortable, with enough space, but it was quite noisy with everyone talking."
67,"While the food was pretty good overall, I thought the prices were a bit high for a quick noodle place."
68,"The aroma when I walked in was amazing, really inviting, but finding a place to park nearby was a nightmare."
69,"I enjoyed the variety of noodles on the menu, a lot of interesting choices, but the service felt a bit rushed."
70,"The broth of the soup was rich and flavorful, but some of the toppings tasted a little stale."
71,"The staff were efficient in taking our order, but they didn't check back on us after the food arrived."
72,"The portion of the appetizer was surprisingly small for the price, but the main noodle dish was quite filling."
73,"The artwork on the walls was cool and added character, but the chairs were really uncomfortable."
74,"The ginger in my noodles was fresh and zesty, but the overall dish could have used more sauce."
75,"The iced tea was perfect on a hot day, but the sugar dispenser on the table was sticky."
76,"The open kitchen concept was interesting to see, but it made the dining area quite noisy."
77,"While the food tasted authentic, the presentation could have been a bit more appealing."
78,"El servicio fue un poco lento al principio, pero la sopa de fideos era deliciosa y el ambiente muy agradable."
79,"Le ramen était délicieux, bien que un peu trop salé, et j'ai trouvé que les tables étaient trop proches les unes des autres."
80,"Das Curry war scharf, genau wie ich es mag, aber es gab keine klare Kennzeichnung für Allergene auf der Karte."
81,"Mi è piaciuto molto il sapore autentico dei noodles, però il locale era un po' rumoroso e ho dovuto aspettare tanto per un tavolo."
82,??????????????????????????????
83,The Peruvian lomo saltado with spaghetti was an interesting fusion.
84,"I'm boring and ordered the American chicken noodle soup, classic comfort food ????."
85,I hadn't tried spätzle before - it was interesting. I think my mom would like to try the other dishes - I'll bring her next time.
86,??in????
87,See above
88,This place is kind of quirky - you can't say it doesn't have character.
89,I came in because of the cute noodle art on the walls. The food was better than I expected.
90,The faloodeh was so interesting - I've never had noodles for dessert!
91,"I had to try the persian noodle dessert I saw online, and it did not disappoint!"
92,"The initial aroma upon entering was inviting, suggesting fresh ingredients, but navigating the menu felt a bit like a treasure hunt – not intuitively organized. The ""spicy"" noodles had a pleasant warmth, though those seeking a real kick might be underwhelmed."
93,"The decor created a relaxed and somewhat trendy vibe, making it a comfortable space. However, the noise level made conversation a bit challenging at times, and our server, while polite, wasn't particularly proactive in checking on our table."
94,"The noodles themselves had a satisfying texture, indicating they were likely made in-house, which is a definite plus. However, the accompanying vegetables in the dish felt a little bland and could have used more seasoning to complement the noodles."
95,"The restaurant has a unique character, and the effort in the presentation of the dishes was noticeable. However, the tables felt a bit too close together, making the dining experience feel somewhat less private and a little cramped."
96,"The broth in the noodle soup had a rich, savory depth, a highlight of the meal. Unfortunately, the service felt a little slow, particularly in getting our order taken initially, which slightly detracted from the overall enjoyment."
